Time,SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE1-1::Des Latent Heat Load [W],SPACE1-1::Des Latent Cool Load [W],SPACE1-1::Des Latent Heat Mass Flow [kg/s],SPACE1-1::Des Latent Cool Mass Flow [kg/s],SPACE1-1::Des Heat Load No DOAS [W],SPACE1-1::Des Sens Cool Load No DOAS [W],SPACE1-1::Des Latent Heat Load No DOAS [W],SPACE1-1::Des Latent Cool Load No DOAS [W],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE2-1::Des Latent Heat Load [W],SPACE2-1::Des Latent Cool Load [W],SPACE2-1::Des Latent Heat Mass Flow [kg/s],SPACE2-1::Des Latent Cool Mass Flow [kg/s],SPACE2-1::Des Heat Load No DOAS [W],SPACE2-1::Des Sens Cool Load No DOAS [W],SPACE2-1::Des Latent Heat Load No DOAS [W],SPACE2-1::Des Latent Cool Load No DOAS [W],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE3-1::Des Latent Heat Load [W],SPACE3-1::Des Latent Cool Load [W],SPACE3-1::Des Latent Heat Mass Flow [kg/s],SPACE3-1::Des Latent Cool Mass Flow [kg/s],SPACE3-1::Des Heat Load No DOAS [W],SPACE3-1::Des Sens Cool Load No DOAS [W],SPACE3-1::Des Latent Heat Load No DOAS [W],SPACE3-1::Des Latent Cool Load No DOAS [W],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE4-1::Des Latent Heat Load [W],SPACE4-1::Des Latent Cool Load [W],SPACE4-1::Des Latent Heat Mass Flow [kg/s],SPACE4-1::Des Latent Cool Mass Flow [kg/s],SPACE4-1::Des Heat Load No DOAS [W],SPACE4-1::Des Sens Cool Load No DOAS [W],SPACE4-1::Des Latent Heat Load No DOAS [W],SPACE4-1::Des Latent Cool Load No DOAS [W],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE5-1::Des Latent Heat Load [W],SPACE5-1::Des Latent Cool Load [W],SPACE5-1::Des Latent Heat Mass Flow [kg/s],SPACE5-1::Des Latent Cool Mass Flow [kg/s],SPACE5-1::Des Heat Load No DOAS [W],SPACE5-1::Des Sens Cool Load No DOAS [W],SPACE5-1::Des Latent Heat Load No DOAS [W],SPACE5-1::Des Latent Cool Load No DOAS [W],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%]
00:15:00,2.860783E+03,3.840292E+02,9.265541E-02,4.699006E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.343321E+01,1.181738E+03,1.779015E+02,3.827436E-02,2.176814E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.343315E+01,2.776390E+03,3.653677E+02,8.992204E-02,4.470663E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343763E+01,1.181738E+03,1.914084E+02,3.827436E-02,2.342085E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342633E+01,1.439097E+03,5.041498E+02,4.661002E-02,6.168819E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.354834E+01
00:30:00,2.860783E+03,3.629941E+02,9.265541E-02,4.441619E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.343225E+01,1.181738E+03,1.688488E+02,3.827436E-02,2.066045E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.343213E+01,2.776390E+03,3.453907E+02,8.992204E-02,4.226223E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343615E+01,1.181738E+03,1.800333E+02,3.827436E-02,2.202899E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342629E+01,1.439097E+03,4.878658E+02,4.661002E-02,5.969565E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.353628E+01
00:45:00,2.860783E+03,3.429053E+02,9.265541E-02,4.195811E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.343146E+01,1.181738E+03,1.601753E+02,3.827436E-02,1.959915E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.343130E+01,2.776390E+03,3.262549E+02,8.992204E-02,3.992076E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343492E+01,1.181738E+03,1.694429E+02,3.827436E-02,2.073313E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342626E+01,1.439097E+03,4.722946E+02,4.661002E-02,5.779033E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.352573E+01
01:00:00,2.860783E+03,3.237393E+02,9.265541E-02,3.961294E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.343081E+01,1.181738E+03,1.518765E+02,3.827436E-02,1.858370E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.343062E+01,2.776390E+03,3.079515E+02,8.992204E-02,3.768114E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343390E+01,1.181738E+03,1.595606E+02,3.827436E-02,1.952394E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342623E+01,1.439097E+03,4.574448E+02,4.661002E-02,5.597329E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.351648E+01
01:15:00,2.860783E+03,3.057307E+02,9.265541E-02,3.740940E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.343027E+01,1.181738E+03,1.440345E+02,3.827436E-02,1.762416E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.343006E+01,2.776390E+03,2.907077E+02,8.992204E-02,3.557118E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343305E+01,1.181738E+03,1.504098E+02,3.827436E-02,1.840424E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342621E+01,1.439097E+03,4.432439E+02,4.661002E-02,5.423565E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.350834E+01
01:30:00,2.860783E+03,2.888029E+02,9.265541E-02,3.533810E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342982E+01,1.181738E+03,1.366228E+02,3.827436E-02,1.671725E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342959E+01,2.776390E+03,2.744594E+02,8.992204E-02,3.358303E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343233E+01,1.181738E+03,1.419152E+02,3.827436E-02,1.736483E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342620E+01,1.439097E+03,4.296590E+02,4.661002E-02,5.257339E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.350114E+01
01:45:00,2.860783E+03,2.729301E+02,9.265541E-02,3.339590E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342943E+01,1.181738E+03,1.296338E+02,3.827436E-02,1.586207E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342919E+01,2.776390E+03,2.591893E+02,8.992204E-02,3.171457E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343172E+01,1.181738E+03,1.340298E+02,3.827436E-02,1.639997E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342618E+01,1.439097E+03,4.166620E+02,4.661002E-02,5.098306E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.199999E+01,5.349477E+01
02:00:00,2.860783E+03,2.580658E+02,9.265541E-02,3.157709E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342910E+01,1.181738E+03,1.230499E+02,3.827436E-02,1.505647E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342886E+01,2.776390E+03,2.448579E+02,8.992204E-02,2.996096E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343119E+01,1.181738E+03,1.267031E+02,3.827436E-02,1.550347E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342617E+01,1.439097E+03,4.041771E+02,4.661002E-02,4.945539E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.348910E+01
02:15:00,2.860783E+03,2.439005E+02,9.265541E-02,2.984382E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342882E+01,1.181738E+03,1.167647E+02,3.827436E-02,1.428740E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342857E+01,2.776390E+03,2.311821E+02,8.992204E-02,2.828759E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343074E+01,1.181738E+03,1.198019E+02,3.827436E-02,1.465903E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342616E+01,1.439097E+03,3.922171E+02,4.661002E-02,4.799195E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.348405E+01
02:30:00,2.860783E+03,2.304763E+02,9.265541E-02,2.820123E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342858E+01,1.181738E+03,1.107949E+02,3.827436E-02,1.355694E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342833E+01,2.776390E+03,2.182053E+02,8.992204E-02,2.669973E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343036E+01,1.181738E+03,1.133210E+02,3.827436E-02,1.386603E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342615E+01,1.439097E+03,3.807614E+02,4.661002E-02,4.659022E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.347953E+01
02:45:00,2.860783E+03,2.177802E+02,9.265541E-02,2.664772E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342838E+01,1.181738E+03,1.051361E+02,3.827436E-02,1.286452E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342812E+01,2.776390E+03,2.059181E+02,8.992204E-02,2.519626E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.343002E+01,1.181738E+03,1.072380E+02,3.827436E-02,1.312171E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342614E+01,1.439097E+03,3.697910E+02,4.661002E-02,4.524787E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.347548E+01
03:00:00,2.860783E+03,2.057930E+02,9.265541E-02,2.518096E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342819E+01,1.181738E+03,9.978088E+01,3.827436E-02,1.220925E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342794E+01,2.776390E+03,1.943045E+02,8.992204E-02,2.377522E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.342972E+01,1.181738E+03,1.015305E+02,3.827436E-02,1.242334E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342614E+01,1.439097E+03,3.592885E+02,4.661002E-02,4.396278E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.347184E+01
03:15:00,2.860783E+03,1.942853E+02,9.265541E-02,2.377287E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342804E+01,1.181738E+03,9.464922E+01,3.827436E-02,1.158134E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342779E+01,2.776390E+03,1.831529E+02,8.992204E-02,2.241070E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.342947E+01,1.181738E+03,9.610617E+01,3.827436E-02,1.175961E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342613E+01,1.439097E+03,3.492365E+02,4.661002E-02,4.273281E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.346855E+01
03:30:00,2.860783E+03,1.831988E+02,9.265541E-02,2.241632E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342790E+01,1.181738E+03,8.971738E+01,3.827436E-02,1.097787E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342765E+01,2.776390E+03,1.724091E+02,8.992204E-02,2.109608E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.342924E+01,1.181738E+03,9.093104E+01,3.827436E-02,1.112638E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342613E+01,1.439097E+03,3.396151E+02,4.661002E-02,4.155553E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.346559E+01
03:45:00,2.860783E+03,1.724979E+02,9.265541E-02,2.110695E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342778E+01,1.181738E+03,8.496923E+01,3.827436E-02,1.039689E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342753E+01,2.776390E+03,1.620398E+02,8.992204E-02,1.982729E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.342904E+01,1.181738E+03,8.598055E+01,3.827436E-02,1.052063E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342612E+01,1.439097E+03,3.304043E+02,4.661002E-02,4.042848E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.346290E+01
04:00:00,2.860783E+03,1.621509E+02,9.265541E-02,1.984088E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949891E+01,2.568277E+01,2.200000E+01,5.342767E+01,1.181738E+03,8.038983E+01,3.827436E-02,9.836549E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342743E+01,2.776390E+03,1.520150E+02,8.992204E-02,1.860065E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949890E+01,2.562186E+01,2.200000E+01,5.342887E+01,1.181738E+03,8.123282E+01,3.827436E-02,9.939698E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949897E+01,2.556455E+01,2.200000E+01,5.342612E+01,1.439097E+03,3.215841E+02,4.661002E-02,3.934924E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.949916E+01,2.123682E+01,2.200000E+01,5.346046E+01
